time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_pH,SIL_rsi,CAR_ch4,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP
2015-07-28,3.38198,26.31585,0,246.3538,1.3681,0.07105,0.135,18.972198,605.8346,35.4289,0.8272,7.4448,1.6544,0.0066,0.0593,0.1537,45.6758,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-29,2.3805599999999996,26.71035,0,245.1338,0.7509,0.29085,0.08775000000000001,6.744937500000001,215.3848,12.5956,1.3006,11.7055,2.6012,-0.0018,-0.0158,-0.041,62.1444,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-30,1.6664199999999998,27.03165,0,244.1477,0.3944,0.12040000000000001,0.20804999999999998,11.4482655,365.5748,21.3786,0.3917,3.5252,0.7834,0.0375,0.3371,0.874,56.1743,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-07-31,1.16648,25.00245,0,250.4922,0.4988,0,0.055799999999999995,5.1313815,163.859,9.5824,1.203,10.8271,2.406,-0.0011,-0.01,-0.026,62.4951,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-01,0.81648,24.41265,0,252.3907,1.1002,0.2821,0.0018,10.897613999999999,347.9908,20.3503,0.5445,4.9008,1.0891,0.0502,0.4515,1.1705,49.5299,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-02,0.5716199999999999,23.0277,0,256.9497,0.4935,0.2275,0.01335,7.874118,251.4429,14.7043,0.1749,1.5737,0.3497,0.0178,0.1603,0.4155,71.5437,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-03,0.40012,23.40795,0,255.6833,0.6088,0.35525,0.0291,11.0446245,352.6855,20.6249,0.0875,0.7876,0.175,0.0561,0.5049,1.3089,64.0452,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-04,0.27999999999999997,24.96645,0,250.6076,0.1216,0.0924,0.06645,3.333645,106.4528,6.2253,0.5436,4.8927,1.0873,-0.0013,-0.012,-0.031,46.9553,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-05,0.196,25.1295,0,250.0866,0.2954,0,0.0786,12.4759845,398.3929,23.2978,1.2206,10.9858,2.4413,0.022,0.198,0.5134,57.9208,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-06,0.1918,23.96055,0,253.8629,0.6891,0.48055000000000003,0.15825,0,0,0,0.5112,4.6004,1.0223,-0.0025,-0.0225,-0.0584,76.4221,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-07,0.66626,22.54605,0,258.569,0.8649,0.18865,0,10.2478635,327.2425,19.137,0.7053,6.3475,1.4105,0.0408,0.367,0.9514,55.1964,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-08,0.46634,22.7163,0,257.9947,0.5374,0.30765000000000003,0.0675,11.863215,378.8256,22.1535,1.109,9.981,2.218,-0.0013,-0.0121,-0.0315,63.3823,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-09,0.32648,23.28,0,256.1083,0.9839,0.35035,0.1761,4.6252395,147.6969,8.6372,0.1116,1.0045,0.2232,0.023,0.2066,0.5356,64.2339,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-10,0.35112,23.2392,0,256.2439,0.3507,0.3577,0.013949999999999999,0,0,0,0.6506,5.8555,1.3012,-3e-4,-0.0025,-0.0065,76.7839,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-11,8.46342,24.29685,0,252.7664,0.1503,0.1099,0.1161,1.0825605,34.5694,2.0216,1.1627,10.4642,2.3254,0.0049,0.0439,0.1138,60.574,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-12,5.924379999999999,23.4804,0,255.4433,0.5531,0.4942,0.07289999999999999,10.3594365,330.8052,19.3453,0.6796,6.1166,1.3592,0.0337,0.3032,0.7862,83.016,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-13,4.14708,22.71825,0,257.9879,0.3325,0.3325,0.08895,7.886466,251.83690000000001,14.7273,1.0474,9.4265,2.0948,0.0315,0.2835,0.7351,42.629,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-14,2.9029,23.0547,0,256.8593,0,0.6124999999999999,0.0369,1.6462215,52.568,3.0741,0.3229,2.9058,0.6457,0.0478,0.4303,1.1155,74.2524,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-15,2.0321,24.05025,0,253.5696,1.6207,0.38639999999999997,0.1809,3.522897,112.496,6.5787,0.3155,2.8393,0.6309,0.0431,0.3875,1.0046,71.0391,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-16,1.4223999999999999,24.2889,0,252.7922,1.0095,0.0805,0.0606,10.487326500000002,334.889,19.5842,0.9225,8.3023,1.845,0.0466,0.4198,1.0883,61.9684,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-17,0.99568,24.8385,0,251.0177,0.2822,0.27615,0.09690000000000001,13.3339815,425.7911,24.9001,0.4333,3.8999,0.8667,0.0152,0.1365,0.3539,50.8119,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-18,1.69232,24.75435,0,251.2877,0,0.0441,0.13755,14.0436765,448.4534,26.2253,1.4826,13.3435,2.9652,0.0559,0.5029,1.3039,71.5615,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-19,1.2749799999999998,25.1862,0,249.9058,1.1675,0.40355,0,10.147567500000001,324.0403,18.9497,1.1046,9.9413,2.2092,0.0209,0.188,0.4873,73.0309,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-20,0.9123799999999999,25.0401,0,250.3718,0.7316,0.27195,0.1101,4.9487445,158.0269,9.2413,1.1615,10.4538,2.3231,0.051,0.4589,1.1898,69.8696,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-21,0.6386799999999999,22.8465,0,257.5565,1.3238,0.25375,0.1575,0,0,0,0.6644,5.9793,1.3287,0.0066,0.0595,0.1542,65.9061,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-22,0.4470199999999999,21.98595,0,260.4754,0.4619,0.3444,0,3.6091124999999997,115.249,6.7397,0.41,3.6896,0.8199,0.0349,0.314,0.8141,44.8109,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-08-23,0.3129,22.54845,0,258.5611,0.709,0.3416,0.03825,23.015412,734.9461,42.9793,1.4829,13.3462,2.9658,0.0296,0.266,0.6896,48.9599,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
