"","DateTime","Depth","temp","DateTime.1","Depth.1","TOT_extc","DateTime.2","Depth.2","NIT_nit","DateTime.3","Depth.3","PHS_frp","DateTime.4","Depth.4","OGM_doc","DateTime.5","Depth.5","PHY_cyano","DateTime.6","Depth.6","PHY_tchla"
"1",2020-01-02,"0",23.3019327839924,2020-01-02,"0",0.4,2020-01-02,"0",0.0484321713346582,2020-01-02,"0",0.051751685013859,2020-01-02,"0",21.4732663020273,2020-01-02,"0",1.05876936822466,2020-01-02,"0",1.35598460625955
"2",2020-01-02,"0.672258482120298",23.3019327839924,2020-01-02,"0.672258482120298",0.54452115505611,2020-01-02,"0.672258482120298",0.0484321303622708,2020-01-02,"0.672258482120298",0.0517124923213445,2020-01-02,"0.672258482120298",21.4754960157598,2020-01-02,"0.672258482120298",1.06219327374539,2020-01-02,"0.672258482120298",1.36132622373285
"3",2020-01-02,"1.3445169642406",23.3019327839924,2020-01-02,"1.3445169642406",0.54452115505611,2020-01-02,"1.3445169642406",0.0484321301931216,2020-01-02,"1.3445169642406",0.0517125043012056,2020-01-02,"1.3445169642406",21.475552744012,2020-01-02,"1.3445169642406",1.06219327374539,2020-01-02,"1.3445169642406",1.36132622373285
"4",2020-01-02,"2.01677544636089",23.3019327829932,2020-01-02,"2.01677544636089",0.544521155055923,2020-01-02,"2.01677544636089",0.0484321295364889,2020-01-02,"2.01677544636089",0.0517125508068501,2020-01-02,"2.01677544636089",21.4757729622124,2020-01-02,"2.01677544636089",1.06219327374559,2020-01-02,"2.01677544636089",1.36132622373285
"5",2020-01-02,"2.68903392848119",23.301656239469,2020-01-02,"2.68903392848119",0.544520996215463,2020-01-02,"2.68903392848119",0.0484334640226089,2020-01-02,"2.68903392848119",0.0517347040887595,2020-01-02,"2.68903392848119",21.4762586945684,2020-01-02,"2.68903392848119",1.06219180360563,2020-01-02,"2.68903392848119",1.36132482912431
"6",2020-01-02,"3.36129241060149",22.7152833974628,2020-01-02,"3.36129241060149",0.543863558642966,2020-01-02,"3.36129241060149",0.0539580013124106,2020-01-02,"3.36129241060149",0.0555316281952694,2020-01-02,"3.36129241060149",21.3551503259401,2020-01-02,"3.36129241060149",1.05597649795755,2020-01-02,"3.36129241060149",1.3555465536726
"7",2020-01-02,"4.03355089272179",19.8943545688577,2020-01-02,"4.03355089272179",0.540731192436663,2020-01-02,"4.03355089272179",0.065264957249937,2020-01-02,"4.03355089272179",0.0645994091462463,2020-01-02,"4.03355089272179",20.7685370828634,2020-01-02,"4.03355089272179",1.03319678861485,2020-01-02,"4.03355089272179",1.33250994733328
"8",2020-01-02,"4.70580937484209",16.6726631360728,2020-01-02,"4.70580937484209",0.538062539318872,2020-01-02,"4.70580937484209",0.0644552866984993,2020-01-02,"4.70580937484209",0.0657865296203409,2020-01-02,"4.70580937484209",20.2810214902738,2020-01-02,"4.70580937484209",1.01901420947224,2020-01-02,"4.70580937484209",1.31045797057267
"9",2020-01-02,"5.37806785696238",13.8595870654851,2020-01-02,"5.37806785696238",0.5355649579115,2020-01-02,"5.37806785696238",0.0640613976107877,2020-01-02,"5.37806785696238",0.0667956473560355,2020-01-02,"5.37806785696238",19.8298585409436,2020-01-02,"5.37806785696238",1.00842302113789,2020-01-02,"5.37806785696238",1.28882333631984
"10",2020-01-02,"6.05032633908268",11.7479504778259,2020-01-02,"6.05032633908268",0.533318918034465,2020-01-02,"6.05032633908268",0.0641752977443386,2020-01-02,"6.05032633908268",0.0679700899262313,2020-01-02,"6.05032633908268",19.4262766591455,2020-01-02,"6.05032633908268",1.00071310639386,2020-01-02,"6.05032633908268",1.26974585433751
"11",2020-01-02,"6.72258482120298",10.7489168883608,2020-01-02,"6.72258482120298",0.53099173358905,2020-01-02,"6.72258482120298",0.0620719119682962,2020-01-02,"6.72258482120298",0.0691532036528457,2020-01-02,"6.72258482120298",18.9987532456051,2020-01-02,"6.72258482120298",0.994962371716099,2020-01-02,"6.72258482120298",1.25273084005466
"12",2020-01-02,"7.39484330332328",10.0745228283516,2020-01-02,"7.39484330332328",0.528656575215991,2020-01-02,"7.39484330332328",0.0557247320537019,2020-01-02,"7.39484330332328",0.0703238705320737,2020-01-02,"7.39484330332328",18.56151624325,2020-01-02,"7.39484330332328",0.990581653864308,2020-01-02,"7.39484330332328",1.23841943175312
