datetime,OGM_doc,NIT_nit,PHS_frp,OXY_oxy
2017-01-01 11:00:00,38.716892227372725,0.0800559863651606,0.050368920439435264,354.7947870644516
2017-01-01 23:00:00,38.51978344274635,0.08061881438013015,0.05061815447039059,354.4813106009189
2017-01-02 11:00:00,38.03076145032341,0.08035703899773394,0.05115783415124664,354.3729150107311
2017-01-02 23:00:00,38.573568471062444,0.08098637180151592,0.05141755596911369,353.8423801006398
2017-01-03 11:00:00,38.150288141894094,0.08778514658963144,0.05201352591180365,353.9150928462003
2017-01-03 23:00:00,38.669613773275465,0.0883343353520295,0.05228271848429163,353.40849792137243
2017-01-04 11:00:00,34.7796676181185,0.06652834054147269,0.03924717023198368,353.6560471158047
2017-01-04 23:00:00,35.219160714796296,0.06713536676523646,0.039569160616079756,354.07397139650783
2017-01-05 11:00:00,32.72108736964345,0.0718597018889503,0.04901714306250459,354.19241880097275
2017-01-05 23:00:00,33.11994987796977,0.07243110766193922,0.04930986824946769,354.2535825037858
2017-01-06 11:00:00,33.52448158467425,0.07304298960856777,0.04942554571233216,352.45770393471327
2017-01-06 23:00:00,32.943070989915576,0.08627895549493345,0.050467964151507255,356.5493480494318
2017-01-07 11:00:00,33.33938266962816,0.08676667042392062,0.050594133710372115,354.7627660284295
2017-01-07 23:00:00,30.78192437138761,0.08052036705965791,0.046634476631164025,359.1561884209956
2017-01-08 11:00:00,30.178882540797066,0.08941217984154533,0.04382493510395522,362.28154692402086
2017-01-08 23:00:00,30.517286152292463,0.08995910240853883,0.04411844359859297,362.21815977228715
2017-01-09 11:00:00,30.78724242949463,0.08755591354669258,0.04202159560786094,364.8171743922176
2017-01-09 23:00:00,31.124880213228618,0.088184801155364,0.04228827087859752,364.37567326226787
2017-01-10 11:00:00,30.41017293816327,0.08828164400252397,0.04295142375641085,365.807587297406
2017-01-10 23:00:00,30.736035178623034,0.08901686482901168,0.04322356942962778,365.3308649593355
2017-01-11 11:00:00,30.72002730183127,0.09192956308281465,0.044356121561146655,366.6611240047977
2017-01-11 23:00:00,31.044423874288707,0.09271865445273031,0.04463437445204358,366.1122472776911
2017-01-12 11:00:00,31.26655364211416,0.08953753284516713,0.04370824525938294,366.58415714449484
2017-01-12 23:00:00,31.591930413270575,0.09038847128523887,0.04398587273335766,366.0000036849033
2017-01-13 11:00:00,30.9349157570278,0.09067148666236342,0.04755751839850888,364.7319039083998
2017-01-13 23:00:00,31.2520291949193,0.09158131663506902,0.04783668727836125,364.1553293910264
2017-01-14 11:00:00,31.66101731310883,0.09312689321348071,0.0481643647434189,363.71927281633367
2017-01-14 23:00:00,32.18436570040016,0.09528585022933524,0.048538816862101576,362.1766070392276
2017-01-15 11:00:00,32.14112392191797,0.09941931625808725,0.045859468850437304,361.06827496362575
2017-01-15 23:00:00,32.46437982533149,0.10029428854053553,0.046149382368109455,360.48457950658866
2017-01-16 11:00:00,32.48090774072959,0.09837499296965693,0.04572690297640779,359.49503875852935
2017-01-16 23:00:00,32.804219050014524,0.0993156367202379,0.046018763484632866,358.91051001462324
2017-01-17 11:00:00,31.752591763401895,0.09702527994033966,0.047166945241060756,357.87331903611056
2017-01-17 23:00:00,32.05982935154226,0.09803792030364632,0.04745601480694537,357.3055047567682
2017-01-18 11:00:00,32.357060525830505,0.09906000614201868,0.04781193323443566,357.8669989022597
2017-01-18 23:00:00,32.70066660333242,0.0938904261862401,0.04814933674587613,357.4927112384402
2017-01-19 11:00:00,31.90102727934996,0.08514613942466079,0.05375398350623265,354.8627196802682
2017-01-19 23:00:00,32.21247830044777,0.08624169911846574,0.054044347329844734,354.6277162358294
2017-01-20 11:00:00,33.48861896996163,0.08496773906968486,0.05289923053843972,354.07710223589544
2017-01-20 23:00:00,33.81569851689069,0.08607354409916011,0.053189453196174734,353.8462737711885
2017-01-21 11:00:00,34.11356308247747,0.08725853019762113,0.05347585415236158,354.55175061917834
2017-01-21 23:00:00,33.37908339066264,0.0892996589502664,0.05215683075467769,354.70115291244906
2017-01-22 11:00:00,29.647219359853167,0.0933077733091929,0.046234039529363814,352.79996727030306
2017-01-22 23:00:00,28.4843375694548,0.08820133064997773,0.04533786868187689,350.39523063361173
2017-01-23 11:00:00,28.74280851379527,0.08916329876428968,0.04565795293812409,351.2167360584888
2017-01-23 23:00:00,27.18116406962854,0.08796800922918206,0.04166002147676459,348.58135020152366
2017-01-24 11:00:00,18.015857295302915,0.07596784959083214,0.02754865959123509,347.1681967450653
2017-01-24 23:00:00,18.181950415777084,0.07661057681046184,0.027839803194625697,346.9313799438446
2017-01-25 11:00:00,11.191359634518424,0.09230659095161052,0.01723940706424881,346.8996523452605
2017-01-25 23:00:00,11.291734758166305,0.09254213795286068,0.01749865301864738,346.80113868932585
2017-01-26 11:00:00,11.395087486283105,0.09281891020038902,0.017596165742311206,344.8827381123949
2017-01-26 23:00:00,16.65340233269725,0.07838320976271507,0.016190635587844723,346.2430318980386
2017-01-27 11:00:00,16.836289017493783,0.07880376630732185,0.016301563966492558,344.39748610870527
2017-01-27 23:00:00,17.399000491779706,0.0863701436123633,0.018146254500795222,346.55939578271926
2017-01-28 11:00:00,17.592395733314714,0.08667428561964342,0.01827504481334948,344.76386048777675
2017-01-28 23:00:00,17.76659123035916,0.08289620844088373,0.03381606499109543,348.40560315407504
2017-01-29 11:00:00,17.971087387589566,0.08328623499366565,0.03395581308964565,346.7016153967962
2017-01-29 23:00:00,16.264648857624,0.0824178201878658,0.030879417287460475,349.96683422215153
2017-01-30 11:00:00,16.441358985141854,0.08288916530318091,0.031017457997567457,348.2627359934067
2017-01-30 23:00:00,15.575441750511848,0.07949094992740184,0.0299222372117911,350.70471936771895
2017-01-31 11:00:00,15.748187304960982,0.08005784011517716,0.03005640229643157,348.99833519389443
2017-01-31 23:00:00,16.715054250080307,0.08429819305628582,0.029021022003712933,351.8659803492802
2017-02-01 11:00:00,16.059981822315446,0.08268860187544017,0.030395089991395438,352.1008429811394
2017-02-01 23:00:00,16.226935332210388,0.08333721503177056,0.030679037225389862,351.59361823680274
2017-02-02 11:00:00,16.35874353882848,0.08621964762731098,0.03450491871910756,351.5902257317121
2017-02-02 23:00:00,16.52727120227737,0.08691559608045786,0.034788828233671125,351.0790624860756
2017-02-03 11:00:00,16.695218979272422,0.08750583428379483,0.03465215225138794,350.95563054318205
2017-02-03 23:00:00,16.86343297949217,0.08828384300139648,0.03494520442791597,350.4480754469853
2017-02-04 11:00:00,17.4882255677179,0.08773415253755487,0.03459570563661052,350.5462706701494
2017-02-04 23:00:00,17.663241108515464,0.088603367799962,0.03488672277195585,350.1057122212859
2017-02-05 11:00:00,17.610848470455394,0.08934597403959361,0.03537361449058467,350.24812365712125
2017-02-05 23:00:00,17.78351932305411,0.09029601133214979,0.03566716327004887,349.8076108045413
2017-02-06 11:00:00,18.371634035593235,0.0914254346426439,0.03563755133794481,349.5448251819947
2017-02-06 23:00:00,18.550051328163455,0.092454923622573,0.03593428861348598,349.09643819795895
2017-02-07 11:00:00,20.442650947808342,0.09767768140955717,0.03773287056159072,349.306098138493
2017-02-07 23:00:00,20.646111006073202,0.09856195748211348,0.03802183408786449,348.8671385363621
2017-02-08 11:00:00,20.99752669384362,0.09977269410777426,0.037966072041186794,348.9384871813172
2017-02-08 23:00:00,22.37358451311354,0.10268096686651547,0.03535101159546614,346.7709696279242
2017-02-09 11:00:00,22.859880129036927,0.1056599799133824,0.03179183675051165,345.0599523601409
2017-02-09 23:00:00,23.09988447365358,0.10630308832304933,0.03207567152261385,344.6170201487845
2017-02-10 11:00:00,23.266735515533625,0.10988329159005204,0.032283077430362676,343.732883672666
2017-02-10 23:00:00,23.44073706525295,0.11305600499157871,0.03276469383557025,345.2600118966159
2017-02-11 11:00:00,23.688013813498483,0.11363267499559473,0.032906433366385254,343.50337201919837
2017-02-11 23:00:00,26.064404468645932,0.11298539066546284,0.03306848931521011,347.5345199264857
2017-02-12 11:00:00,22.18710239619241,0.10869722244811486,0.026902643824634077,346.67804600719336
2017-02-12 23:00:00,22.41484495234815,0.10908526413793385,0.027207013769578965,346.15132746485006
2017-02-13 11:00:00,22.64297819230076,0.10950681285804827,0.02736732892794998,344.27702119966517
2017-02-13 23:00:00,22.141607226168617,0.09164266812222548,0.023203281591804556,341.54489565493446
2017-02-14 11:00:00,22.383512097243123,0.09221458830841321,0.02334670326601535,339.61843938522975
2017-02-14 23:00:00,26.361469486390185,0.07657957622545411,0.029803527647000283,343.97796980835636
2017-02-15 11:00:00,26.658299913326097,0.07719345754121153,0.029957073601979925,342.19783273442386
2017-02-15 23:00:00,26.958129905175127,0.07781395745188735,0.03011478325512205,340.41919820923323
2017-02-16 11:00:00,27.259362391257415,0.07843996420968317,0.03027217768687976,338.4161265989331
2017-02-16 23:00:00,27.002307685748818,0.07932080594966352,0.03205787380652191,347.32005978992777
2017-02-17 11:00:00,27.298158223607246,0.07984506198163624,0.03222163489896841,345.44442192879455
2017-02-17 23:00:00,27.595046244061415,0.08037814309928536,0.03239072474588566,343.5436758604929
